Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ABCB1_mut","16","949",".55489038811953106","5.3924478079027995","4.4052425649298144","","",".0041366825773294083",".98720524297298518","1.1612417410900104","1.7871599496387736",".024731901026110659",".00000000000000000000000000000000000000000000000000000000000000029167406681780901",".0032479140894629333","12.941111002034649","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ABL2_mut","7","958",".22590472072542331","4.021690378233048","4.4245329085565839","","",".43675887636076643","-.4028425303235359","1.2729641992208813","1.7859802594582832",".57297748371110924",".00000000000000000000000000000000000000000000000000000000000000060937342828785826",".0033262890214620111","55.361497857383668","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ACACA_mut","11","954",".37108670783627662","5.0754169032282883","4.4140720892131311","","",".14991215082726805",".66134481401515721","1.3975783329966438","1.7857806956429478",".5565610816751031",".00000000000000000000000000000000000000000000000000000000000000060672637940333133",".0033258206541710729","55.361497857383668","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ACVR1B_mut","3","962",".82584923095506746","5.8884382172595799","4.4170364286830139","","",".1252592827242531","1.471401788576566","1.0050136147955915","1.7829469316400495",".15444993362287449",".00000000000000000000000000000000000000000000000000000000000000046688448847797804",".0032977493674195479","31.16702696425719","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ACVR2A_mut","22","943",".28314924696818389","3.9285488368997989","4.433113769494212","","",".27272233046393918","-.50456493259441304","2.085451614610542","1.7746185192507511",".055350018407241221",".00000000000000000000000000000000000000000000000000000000000000036130332077738208",".0032705018277249015","18.869324457014056","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AFF4_mut","10","955",".36956444932610671","3.7697547725037466","4.4284364516437709","","",".35656999493377783","-.65868167914002429","2.1374295333033166","1.7786311816827576",".34532416609602934",".0000000000000000000000000000000000000000000000000000000000000005573793625140543",".0033167064137300376","45.820334957384468","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AHCTF1_mut","11","954",".25795694327689389","3.966941950879296","4.426853246944618","","",".40788670268250249","-.459911296065322","1.7570565525283379","1.7831686533002589",".29969060183042401",".00000000000000000000000000000000000000000000000000000000000000054154936578539343",".0033136163580788913","42.902319456161926","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AHNAK_mut","15","950",".11763327234332335","4.6281346553325733","4.418349830752474","","",".64843773415804695",".20978482458009928","1.7306227723099417","1.784146611772599",".48350342915633859",".00000000000000000000000000000000000000000000000000000000000000059316114431809391",".0033233889175008613","52.963195899290675","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AKAP9_mut","25","940",".37157794331408428","3.7771691219007444","4.4387501393588504","","",".10324777527027133","-.66158101745810605","1.9347521918853858","1.7763445339926183",".051349968074664777",".00000000000000000000000000000000000000000000000000000000000000035430589651265945",".0032684321003164153","18.373428153166632","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ALK_mut","13","952",".14908126228163676","4.159334829427392","4.425192233468783","","",".64003899879023862","-.26585740404139102","1.9883435538942098","1.7805672213511872",".38503126816127886",".00000000000000000000000000000000000000000000000000000000000000056930811708889947",".0033189792597946338","48.806780471148045","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ANK3_mut","23","942",".35276889583273108","5.0349132148633338","4.4066362580711056","","",".068389950945131006",".62827695679222817","1.5523407525504813","1.7859828661866273",".0074414784234279998",".00000000000000000000000000000000000000000000000000000000000000020936229027622477",".0032132253313082891","6.6973305810852004","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","APAF1_mut","4","961",".9314945958925207","2.770073387606069","4.4284849797028238","","",".23212728506492614","-1.6584115920967548","2.2206132065258593","1.7788305407730383",".7647378719141471",".00000000000000000000000000000000000000000000000000000000000000063140239785021754",".0033301120588336217","59.713471414970378","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","APC_mut","55","910",".40830379477571521","5.1052806051326511","4.380290028310486","","",".004525048904405176",".72499057682216517","1.7704044576811027","1.7759246638235986",".017808455833958105",".00000000000000000000000000000000000000000000000000000000000000026672107997652099",".0032385223566703063","10.625239480156926","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AQR_mut","6","959",".10549314235775797","4.6085887399333627","4.4204409036550976","","",".78328912119805438",".18814783627826515","1.5829674966272753","1.7844952870077646",".81381534622765939",".00000000000000000000000000000000000000000000000000000000000000063476165682443446",".0033306836583691596","60.958835378778922","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARAP3_mut","8","957",".84288946534636233","2.9350662081570413","4.4340374392681108","","",".027932054140174269","-1.4989712311110694","1.5337708393748486","1.7800393083938453",".18980137047786283",".00000000000000000000000000000000000000000000000000000000000000048988587433774769",".0033028848746984893","33.864227074479828","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARFGAP3_mut","6","959",".45267586780161551","3.6197605048897512","4.4266275245208551","","",".14898681252443577","-.80686701963110385","1.1569100655967826","1.785128642028355",".64726175359882387",".00000000000000000000000000000000000000000000000000000000000000061973794955142111",".0033281041381923227","55.88570044518476","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARFGEF1_mut","20","945",".11855554704842206","4.2145707289843362","4.425992533825557","","",".55923647357446171","-.21142180484122086","1.5707255907112876","1.7873335523608445",".051738170129057841",".0000000000000000000000000000000000000000000000000000000000000003550037039637477",".0032686402703511999","18.373428153166632","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARFGEF2_mut","10","955",".13546722181703758","4.6606995700725413","4.4191071867477625","","",".59846966958674885",".24159238332477884","1.3894772531246697","1.7867038063736922",".83580642079319301",".0000000000000000000000000000000000000000000000000000000000000006359982998509413",".0033308933433033585","62.167419728419326","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARHGAP29_mut","14","951",".36587960570510675","3.7791223291891649","4.4310690288498309","","",".24624670066405308","-.65194669966066598","1.9994877260883557","1.7786985582111645",".48544001951650695",".00000000000000000000000000000000000000000000000000000000000000059356142355256768",".0033234614407324143","53.021361354958294","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARHGEF6_mut","4","961",".060639948525459578","4.5293171464027422","4.4211624250356163","","",".85350234735235875",".10815472136712589","1.0716375074887614","1.7853354715598655",".44528074840052767",".00000000000000000000000000000000000000000000000000000000000000058475464764169112",".0033218547576300932","51.924650431726747","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID1A_mut","75","890",".10963474973073517","4.2413448733112959","4.4368016781421247","","",".37276468503341686","-.19545680483082872","1.8172414969288355","1.7799027905162879",".061938004763336864",".00000000000000000000000000000000000000000000000000000000000000037199000093042658",".0032735890050623741","20.197175466305506","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID1B_mut","18","947",".081186766479395975","4.2795180828424044","4.4243115454632269","","",".73515096865406937","-.14479346262082249","1.7704879726804483","1.7836936547347497",".63561086461018013",".00000000000000000000000000000000000000000000000000000000000000061827750140257303",".0033278501611997331","55.88570044518476","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID2_mut","26","939",".18547733592601359","4.7433639706934718","4.412701699474769","","",".31116999900113806",".33066227121870284","1.6059684192928538","1.7872365255880756",".60783764611063995",".00000000000000000000000000000000000000000000000000000000000000061455423917136581",".0033272000336338156","55.369826062710125","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID4A_mut","17","948",".59385061508045611","3.384263395892972","4.4402129549732674","","",".01265313640024913","-1.0559495590802954","1.5415290528069372","1.7818678114167004",".091537304095760094",".00000000000000000000000000000000000000000000000000000000000000041089193002050502",".0032841442068950841","23.946507336207048","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID4B_mut","15","950",".4966651812234229","3.5511881719109488","4.4353542489117634","","",".11625967372565249","-.88416607700081462","2.036254482630202","1.7761518855058331",".19819947524061313",".00000000000000000000000000000000000000000000000000000000000000049476227452865096",".0033039435589105083","34.527945984609424","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ARID5B_mut","9","956",".40614551816643585","3.7045254331318329","4.4283615378103054","","",".36465225918921357","-.72383610467847248","2.2544080306325576","1.7777235099150275",".89226912902415945",".00000000000000000000000000000000000000000000000000000000000000063843919211247839",".0033313060635981732","63.827039448844559","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ASH1L_mut","20","945",".46866889820237534","3.6048540464051002","4.4388965905997209","","",".05911259048378352","-.83404254419462065","1.8442987886118711","1.7782722683796872",".21412566679495842",".00000000000000000000000000000000000000000000000000000000000000050349409931521687",".0033058142559951541","35.560012696798402","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ASPM_mut","24","941",".49044384692872012","3.5711076143686156","4.4433026315621582","","",".033452483113252426","-.87219501719354264","1.8729002074513454","1.7760031548059496",".035723063211204699",".00000000000000000000000000000000000000000000000000000000000000032194879794771132",".003258315144324524","14.748053619304697","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ASXL1_mut","20","945",".1330632826033554","4.1892437037053334","4.4265285555245839","","",".45207684185447383","-.23728485181925052","1.359474012302532","1.7907482596812647",".017899266698621089",".00000000000000000000000000000000000000000000000000000000000000026709289131157021",".0032386684444086619","10.625239480156926","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ASXL2_mut","10","955",".52991288868511355","5.355606210216342","4.4118306774268845","","",".0223082428357179",".94377553278945747","1.0800791894405819","1.7863046699145841",".047965917278794706",".00000000000000000000000000000000000000000000000000000000000000034803788823123",".0032665442136515259","17.948017598737984","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ATM_mut","26","939",".015140182459618153","4.4478866614827925","4.4208831798150001","","",".93703971959204224",".027003481667792428","1.700928160010305","1.7857139457295239",".89310950059075078",".00000000000000000000000000000000000000000000000000000000000000063846768412723178",".003331310872161201","63.827039448844559","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ATR_mut","13","952",".58620153505091954","3.3925166776697773","4.4356634897427849","","",".038131719703856586","-1.0431468120730076","1.6078648103938535","1.7815621435551923",".012359035726552432",".0000000000000000000000000000000000000000000000000000000000000002411855372442632",".0032279852859953629","9.7187283602746852","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","ATRX_mut","11","954",".32675636223088189","3.8458084006278539","4.4282499650292788","","",".32308165448894777","-.58244156440142492","1.8506121008087009","1.7817663748398458",".11984976662720188",".00000000000000000000000000000000000000000000000000000000000000043924014880279674",".003291242526441755","27.499025313524012","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AXIN1_mut","11","954",".087349297659113881","4.5756217315949321","4.4198349266219008","","",".78662108884793636",".15578680497303132","1.8492675826983902","1.7827893024643009",".60539694851110148",".00000000000000000000000000000000000000000000000000000000000000061421029255985145",".0033271397838762016","55.369826062710125","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","AXIN2_mut","8","957",".44073058775241697","3.642676913677009","4.4281221982606294","","",".17421904881769201","-.7854452845836204","1.4639779632784193","1.7842642475691286",".56386503530648802",".0000000000000000000000000000000000000000000000000000000000000006079210520640542",".0033260322835042505","55.361497857383668","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","B2M_mut","19","946",".48689252732698912","3.5722474023174149","4.4386698291763294","","",".10509702221204019","-.86642242685891446","2.2017544810882859","1.770474004977322",".086697060961583902",".0000000000000000000000000000000000000000000000000000000000000004053207332223539",".0032826935501409074","23.644652989522889","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BAP1_mut","16","949",".26060367527673112","3.964766057786596","4.4293130686198658","","",".25544905492850878","-.46454701083326988","1.557036197828807","1.785920265841324",".54972185184698397",".00000000000000000000000000000000000000000000000000000000000000060558261403186863",".003325617664105442","55.361497857383668","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BAZ2B_mut","7","958",".15311366073885108","4.1505258113903327","4.4235915223017805","","",".69711574278100752","-.27306571091144782","1.7634504456357645","1.7835428269844535",".61344884171281699",".00000000000000000000000000000000000000000000000000000000000000061533456040649358",".0033273366028753124","55.461333039032645","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BCLAF1_mut","13","952",".14733460496978332","4.6808146715622962","4.4180711852043366","","",".53373047035426757",".26274348635795963","1.4653904829922149","1.7869617365448427",".9250102365728855",".00000000000000000000000000000000000000000000000000000000000000063938203153682153",".0033314650751691392","64.649593540412752","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BCOR_mut","23","942",".32444868467727417","3.857418258523214","4.4353861349244212","","",".10320850385230343","-.57796787640120728","1.6104693347979491","1.7851847028712371",".9177516596933557",".00000000000000000000000000000000000000000000000000000000000000063920251114012392",".0033314348162491072","64.649593540412752","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BCR.ABL_mut","6","959","1.0342209374751312","2.5945154550278597","4.4330419878150895","","",".037791489956117516","-1.8385265327872298","1.6077974148502197","1.7785363817111677",".90762363731143214",".00000000000000000000000000000000000000000000000000000000000000063892399755447081",".0033313878553084364","64.52300739180798","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BLM_mut","8","957",".58551878651743527","3.3874144607844157","4.4302560536662101","","",".044092551107959128","-1.0428415928817945","1.2019741998685263","1.7846030335411267",".80248008319038755",".0000000000000000000000000000000000000000000000000000000000000006340600968056376",".0033305645259578197","60.605721119020082","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BMPR2_mut","18","947",".43388203816369053","3.6634945746311485","4.4360205456193009","","",".08452973672132795","-.77252597098815246","1.7762835977623002","1.7805733378062674",".29460539240682032",".00000000000000000000000000000000000000000000000000000000000000053962258589927369",".0033132342868512463","42.355407854015716","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BNC2_mut","5","960",".52343929810047241","3.4935142770193321","4.4264445704788971","","",".27167666020216247","-.93293029345956491","1.6356300585956818","1.7828949942621586",".33121492351151172",".0000000000000000000000000000000000000000000000000000000000000005527482958427136",".0033158113094061952","45.033852004429981","PANCANCER","GDSC2"
"Nutlin-3a (-)","1047","MDM2","p53 pathway","BPTF_mut","17","948",".09903012678172389","4.2481099702483398","4.4247220353909462","","",".68307917259148754","-.17661206514260641","1.7361155480498618","1.784205956605132",".93021769078890748",".00000000000000000000000000000000000000000000000000000000000000063950052162468176",".0033314850426638329","64.649593540412752","PANCANCER","GDSC2"
