Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"MIRA-1","1931","CAL-33","753541","HNSC","aero_digestive_tract","head_and_neck","5.2692871367615641",".98335134311712513","10",".061636929740760883",".032053423414767961","GDSC2"
"MIRA-1","1931","CP50-MEL-B","753545","SKCM","skin","melanoma","5.0061037393761065",".98246656520367359","10",".052427677273017961","-.18202065766004524","GDSC2"
"MIRA-1","1931","CP66-MEL","753546","SKCM","skin","melanoma","5.4932120340247028",".97095756162483637","10",".03170389059825194",".21419453523106805","GDSC2"
"MIRA-1","1931","CPC-N","753547","SCLC","lung","lung_small_cell_carcinoma","3.5376234289122532",".95314482759590013","10",".08059715222815933","-1.3764864794481495","GDSC2"
"MIRA-1","1931","CTV-1","753548","LAML","blood","acute_myeloid_leukaemia","2.3077069821673977",".92727262199942651","10",".064175452887979781","-2.3769038148550861","GDSC2"
"MIRA-1","1931","D-542MG","753549","GBM","nervous_system","glioma","5.6185586648837802",".96978019416214933","10",".12495742425865987",".31615182084844534","GDSC2"
"MIRA-1","1931","DMS-79","753551","SCLC","lung","lung_small_cell_carcinoma","5.3472296377389172",".98994554439650495","10",".024672367115270471",".095452062687450157","GDSC2"
"MIRA-1","1931","DSH1","753552","BLCA","urogenital_system","bladder","5.4852144984458207",".97707720173802581","10",".04174352135221468",".20768931834839044","GDSC2"
"MIRA-1","1931","EBC-1","753554","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","6.2630975999209371",".98471032619117815","10",".027304715564666293",".84042151873115167","GDSC2"
"MIRA-1","1931","EC-GI-10","753555","ESCA","aero_digestive_tract","oesophagus","5.2415246811608727",".98277018155388973","10",".032240223457367399",".0094713675930859411","GDSC2"
"MIRA-1","1931","EPLC-272H","753556","LUSC","lung","lung_NSCLC_squamous_cell_carcinoma","5.6851384915843859",".98018791738213207","10",".033041708017599251",".37030803039907118","GDSC2"
"MIRA-1","1931","HA7-RCC","753558","KIRC","kidney","kidney","5.446648684351568",".97731159351650643","10",".039994889382079145",".17631978176232083","GDSC2"
"MIRA-1","1931","HCE-4","753559","ESCA","aero_digestive_tract","oesophagus","4.5609408167415699",".98173735541686979","10",".069042451000267818","-.54411737249192216","GDSC2"
"MIRA-1","1931","HO-1-u-1","753561","HNSC","aero_digestive_tract","head_and_neck","4.8737636158998976",".97302152632887395","10",".052444343003382042","-.28966646892299452","GDSC2"
"MIRA-1","1931","HSC-2","753562","HNSC","aero_digestive_tract","head_and_neck","4.952892452455024",".98393464783999141","10",".066102649474128125","-.22530286111057493","GDSC2"
"MIRA-1","1931","IM-9","753563","MM","blood","myeloma","3.4720658946690715",".97253360872807515","10",".034184874716099385","-1.4298111535729587","GDSC2"
"MIRA-1","1931","IST-SL1","753564","SCLC","lung","lung_small_cell_carcinoma","3.7558090098757964",".97985769289110802","10",".068655936653101476","-1.1990137428980678","GDSC2"
