,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
0,Nutlin-3a (-),PFSK-1,MB,nervous_system,4.261777000039007,0.9700855430090927,-0.0864249589139974
1,Nutlin-3a (-),A673,UNCLASSIFIED,soft_tissue,4.984547813531319,0.9847900403563784,0.3180342758984148
2,Nutlin-3a (-),ES5,UNCLASSIFIED,bone,4.736611196996717,0.9805446231677856,0.17929008156518542
3,Nutlin-3a (-),ES7,UNCLASSIFIED,bone,4.374504375891589,0.9753390070873292,-0.02334323601009983
4,Nutlin-3a (-),EW-11,UNCLASSIFIED,bone,5.270628081369326,0.9781405485174659,0.47812348269082633
5,Nutlin-3a (-),SK-ES-1,UNCLASSIFIED,bone,4.306808149005697,0.980676563810558,-0.06122573432745416
6,Nutlin-3a (-),COLO-829,SKCM,skin,5.856490004503085,0.9546166925058035,0.8059691299043171
7,Nutlin-3a (-),5637,BLCA,urogenital_system,5.081946485313548,0.97379058842056,0.3725381262551291
8,Nutlin-3a (-),RT4,BLCA,urogenital_system,2.497195997959746,0.8918123710839869,-1.0738764007023125
9,Nutlin-3a (-),SW780,BLCA,urogenital_system,3.5743763308924104,0.9269166465253668,-0.47109122304992407
10,Nutlin-3a (-),TCCSUP,BLCA,urogenital_system,6.0027796745461925,0.9810088682529863,0.8878321588231307
11,Nutlin-3a (-),C-33-A,CESC,urogenital_system,4.364604180306968,0.9661582533266725,-0.02888334008721531
12,Nutlin-3a (-),C-4-I,CESC,urogenital_system,4.67530865447459,0.9821100376226489,0.14498545971589946
13,Nutlin-3a (-),ME-180,CESC,urogenital_system,5.125399900105867,0.9767085359368173,0.39685445802836095
14,Nutlin-3a (-),42-MG-BA,GBM,nervous_system,5.516725109883696,0.9860376435274562,0.615838251998662
15,Nutlin-3a (-),8-MG-BA,GBM,nervous_system,4.758253189466096,0.9842343846299992,0.19140084136701888
16,Nutlin-3a (-),A172,GBM,nervous_system,1.9101118491262772,0.8341765925528054,-1.4024059998159697
17,Nutlin-3a (-),GB-1,GBM,nervous_system,6.348318043334642,0.9774449229031427,1.0811938464142854
18,Nutlin-3a (-),T98G,GBM,nervous_system,4.612430525482124,0.97265786001928,0.10979914689863536
19,Nutlin-3a (-),U-118-MG,GBM,nervous_system,5.896183805152906,0.9725126263207076,0.8281815988335067
20,Nutlin-3a (-),U-87-MG,GBM,nervous_system,3.342696393010799,0.916495527020081,-0.6007382545123814
